# time	signal	sigma
-4.450749913791419850e-06	6.978488539568642238e-05	1.866750434224512603e-03
-4.448749913847983713e-06	7.389582098941509236e-05	1.863302955963581573e-03
-4.446749913904547576e-06	7.537133392342377722e-05	1.862148251911304635e-03
-4.444749913961111439e-06	7.738943253654277025e-05	1.861850129920776141e-03
-4.442749914017675302e-06	7.730506913083249362e-05	1.860160470215639020e-03
-4.440749914074239165e-06	7.630295480034232137e-05	1.860013835982009299e-03
-4.438749914130803028e-06	7.388042436820639169e-05	1.860916837741103270e-03
-4.436749914187366891e-06	7.392199822748293174e-05	1.859853485086173340e-03
-4.434749914243930754e-06	7.363698129948821191e-05	1.862887511357369128e-03
-4.432749914300494617e-06	7.171289601744100962e-05	1.863470305591721299e-03
-4.430749914357058480e-06	6.836909785514188589e-05	1.864144099778105136e-03
-4.428749914413622342e-06	6.553324559919546512e-05	1.863753776043883346e-03
-4.426749914470186205e-06	6.029601784039102298e-05	1.860961243227495388e-03
-4.424749914526750068e-06	5.736715475926269130e-05	1.858298040761121022e-03
-4.422749914583313931e-06	5.420985468481667648e-05	1.854858133810427393e-03
-4.420749914639877794e-06	5.497301107939739947e-05	1.858995528488063213e-03
-4.418749914696441657e-06	5.476966081782524108e-05	1.854404966111283023e-03
-4.416749914753005520e-06	5.275796292268797999e-05	1.850827723075109755e-03
-4.414749914809569383e-06	5.351639056649927474e-05	1.845933489287910441e-03
-4.412749914866133246e-06	5.406487007654685122e-05	1.843470011034049373e-03
-4.410749914922697109e-06	5.402176149230001961e-05	1.840155875594941173e-03
-4.408749914979260972e-06	5.609310032386470080e-05	1.837919301701928555e-03
-4.406749915035824835e-06	6.042135246505792306e-05	1.841402874739753084e-03
-4.404749915092388698e-06	6.475833065957275353e-05	1.836936699279431619e-03
-4.402749915148952561e-06	6.735136845673865699e-05	1.833082768643863819e-03
-4.400749915205516423e-06	6.911906118099584361e-05	1.828353936981829591e-03
-4.398749915262080286e-06	6.906052098282371480e-05	1.826326158004704450e-03
-4.396749915318644149e-06	6.949018494089685292e-05	1.825269109306733827e-03
-4.394749915375208012e-06	6.974681395735101634e-05	1.825386884063980681e-03
